BBName1,City,State,Qty1,Value,Products,Brand,Supplier,Employee,Category
District Hospital,Sitapur ,Uttar Pradesh,300,16200,350 SB CPDA,Polymed,Others,digember.singh@mipl.in,OTHERS
District Hospital,Almora,Uttarakhand,200,10800,350 SB CPDA,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital,Pilibhit,Uttar Pradesh,200,10800,350 SB CPDA,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital,Pilibhit,Uttar Pradesh,50,7000,450 D SAGM,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Muzaffarnagar,Uttar Pradesh,300,16200,350 SB CPDA,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Muzaffarnagar,Uttar Pradesh,200,34600,450 T SAGM,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Muzaffarnagar,Uttar Pradesh,500,70000,450 D SAGM,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Etawah,Uttar Pradesh,50,8650,350 T SAGM ,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Etawah,Uttar Pradesh,300,16200,350 SB CPDA,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Rudarpur,Uttarakhand,40,6920,350 T SAGM ,Mipl,SUNIL PHARMA,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Rudarpur,Uttarakhand,200,10800,350 SB CPDA,Mipl,SUNIL PHARMA,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Kashipur,Uttarakhand,200,34600,350 T SAGM ,Mipl,Infotech Care,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Kashipur,Uttarakhand,400,56000,350 D SAGM,Mipl,Infotech Care,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Roorkee,Uttarakhand,200,10800,350 SB CPDA,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Roorkee,Uttarakhand,200,34600,450 T SAGM,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital & Blood Bank,Roorkee,Uttarakhand,300,42000,450 D SAGM,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Alirajpur Blood Bank,Alirajpur,Madhya Pradesh,100,5400,350 SB CPDA,Polymed,Others,nagendra.singh@mipl.in,OTHERS
District Hospital Alirajpur Blood Bank,Alirajpur,Madhya Pradesh,150,15675,350 D CPDA,Polymed,Others,nagendra.singh@mipl.in,OTHERS
District Hospital Balaghat MP,Balaghat,Madhya Pradesh,200,10800,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank,Gonda,Uttar Pradesh,300,31350,350 D CPDA,Polymed,Others,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Auraiya,Uttar Pradesh,200,10800,350 SB CPDA,Polymed,Others,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Ayodhya,Uttar Pradesh,300,51900,350 T SAGM ,Mipl,Others,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Azamgarh,Uttar Pradesh,300,51900,350 T SAGM ,Mipl,Riyansh Traders,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Azamgarh,Uttar Pradesh,250,35000,350 D SAGM,Mipl,Riyansh Traders,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Ghazipur,Uttar Pradesh,400,69200,350 T SAGM ,Mipl,Others,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Bahraich,Uttar Pradesh,800,184000,350 Q SAGM,Mipl,Farzan Enterprises,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Bahraich,Uttar Pradesh,30,1620,100 SB CPDA,Mipl,Farzan Enterprises,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Bahraich,Uttar Pradesh,250,13500,350 SB CPDA,Mipl,Farzan Enterprises,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Pratapgarh,Uttar Pradesh,100,17300,350 T SAGM ,Mipl,V S MEDICO,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Pratapgarh,Uttar Pradesh,200,28000,350 D SAGM,Mipl,VANI ENTERPRISES,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Barabanki ,Uttar Pradesh,200,10800,350 SB CPDA,Polymed,Others,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Raebareli,Uttar Pradesh,300,16200,350 SB CPDA,Polymed,Others,digember.singh@mipl.in,OTHERS
District Hospital Blood Bank,Pauri Garghwal,Uttarakhand,150,8100,350 SB CPDA,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Kasganj,Uttar Pradesh,200,10800,350 SB CPDA,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Shahjahanpur,Uttar Pradesh,150,25950,350 T SAGM ,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Shahjahanpur,Uttar Pradesh,300,16200,350 SB CPDA,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Banda,Uttar Pradesh,60,10380,350 T SAGM ,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Banda,Uttar Pradesh,200,10800,350 SB CPDA,Mipl,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Banda,Uttar Pradesh,150,21000,350 D SAGM,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Moradabad,Uttar Pradesh,150,25950,350 T SAGM ,Mipl,VISION BIOMEDICALS,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Moradabad,Uttar Pradesh,200,28000,450 D SAGM,Mipl,VISION BIOMEDICALS,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Moradabad,Uttar Pradesh,200,160000,350 Q SAGM ILF TAT (TIB),Mipl,VISION BIOMEDICALS,jitum.kumar@mipl.in,ILF&LSF
District Hospital Blood Bank,Auraiya,Uttar Pradesh,200,0,,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Agra,Uttar Pradesh,200,10800,350 SB CPDA,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Agra,Uttar Pradesh,100,5400,100 SB CPDA,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Agra,Uttar Pradesh,200,28000,350 D SAGM,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Blood Bank,Udupi,Karnataka,140,24220,450 T SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank,Udupi,Karnataka,188,26320,450 D SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank,Coorg,Karnataka,95,16435,450 T SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank,Coorg,Karnataka,183,25620,450 D SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank,Kalaburgi,Karnataka,100,5400,350 SB CPDA,Mipl,KOTRASHETTI AGENCIES,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank,Kalaburgi,Karnataka,200,20900,350 D CPDA,Mipl,KOTRASHETTI AGENCIES,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank,Chattarpur,Madhya Pradesh,200,20900,350 D CPDA,Polymed,NA,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank,Bhopal,Madhya Pradesh,100,5400,350 SB CPDA,Polymed,NA,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank,Chhindwara,Madhya Pradesh,100,10450,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank,Chhindwara,Madhya Pradesh,200,10800,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank,Bhopal,Madhya Pradesh,100,15775,350 T CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank,Wayanad,Kerala,50,8650,350 T SAGM ,TerumoPenpal,meridian biomedical engineering company,nahas.jamal@mipl.in,OTHERS
District Hospital Blood Bank,Wayanad,Kerala,150,21000,450 D SAGM,TerumoPenpal,meridian biomedical engineering company,nahas.jamal@mipl.in,OTHERS
District Hospital Blood Bank,Wayanad,Kerala,100,14000,350 D SAGM,TerumoPenpal,meridian biomedical engineering company,nahas.jamal@mipl.in,OTHERS
District Hospital Blood Bank,Goa,Goa,50,13200,350 Q SAGM PDS NPD,Polymed,,sameer.balwant@mipl.in,OTHERS
District Hospital Blood Bank,Goa,Goa,100,20800,350 T SAGM PDS NPD,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
District Hospital Blood Bank,Goa,Goa,100,5400,350 SB CPDA,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
District Hospital Blood Bank,Goa,Goa,200,28000,350 D SAGM,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
District Hospital Blood Bank,Upper Siang,Arunachal Pradesh,20,1080,350 SB CPDA,HLL,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank,Mon,Nagaland,100,5400,350 SB CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank,Tuensang,Nagaland,90,4860,350 SB CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank,Phek,Nagaland,40,2160,350 SB CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank,Wokha,Nagaland,40,2160,350 SB CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank,Zunheboto,Nagaland,80,4320,350 SB CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank BRIMSBidar,Bidar,Karnataka,118,20414,450 T SAGM,TerumoPenpal,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank BRIMSBidar,Bidar,Karnataka,138,19320,450 D SAGM,TerumoPenpal,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Bagalkot,Bagalkot,Karnataka,100,17300,450 T SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Bagalkot,Bagalkot,Karnataka,120,16800,450 D SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Barwani,Barwani,Madhya Pradesh,200,10800,350 SB CPDA,Mipl,SCIENTIFIC SUPPLIES AND MFG CO,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Belagavi,Belgaum,Karnataka,10,540,350 SB CPDA,HLL,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Belagavi,Belgaum,Karnataka,125,21625,450 T SAGM,HLL,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Belagavi,Belgaum,Karnataka,170,23800,350 D SAGM,HLL,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Bellary,Bellary,Karnataka,130,22490,450 T SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Bellary,Bellary,Karnataka,180,25200,450 D SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Betul,Betul,Madhya Pradesh,150,15675,450 D CPDA,Polymed,NA,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Betul,Betul,Madhya Pradesh,100,5400,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Bhind,Bhind,Madhya Pradesh,200,20900,350 D CPDA,Polymed,NA,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Bijapur,Bijapur,Karnataka,127,13271.5,350 D CPDA,TerumoPenpal,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Bijapur,Bijapur,Karnataka,42,2268,350 SB CPDA,TerumoPenpal,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Chamarajanagar,Chamarajnagar,Karnataka,100,15775,450 T CPDA,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Chamarajanagar,Chamarajnagar,Karnataka,135,14107.5,450 D CPDA,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Champhai,Champhai,Mizoram,180,9720,350 SB CPDA,TerumoPenpal,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank Chitradurga,Chitradurga,Karnataka,120,16800,450 D SAGM,Mipl,ANJANADRI SURGICALS,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Chitradurga,Chitradurga,Karnataka,120,20760,450 T SAGM,HLL,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Chitradurga,Chitradurga,Karnataka,163,22820,350 D SAGM,HLL,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Damoh,Damoh,Madhya Pradesh,200,10800,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Datia,Datia,Madhya Pradesh,10,6000,500 LSF RBC,Mipl,MIPL,nagendra.singh@mipl.in,ILF&LSF
District Hospital Blood Bank Datia,Datia,Madhya Pradesh,200,20900,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Dhar,Dhar,Madhya Pradesh,150,8100,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Dhar,Dhar,Madhya Pradesh,100,10450,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Dharmanagar,North Tripura,Tripura,80,8360,350 D CPDA,Polymed,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank Dharmanagar,North Tripura,Tripura,180,9720,350 SB CPDA,Polymed,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank Dharwad,Dharwad,Karnataka,130,22490,450 T SAGM,TerumoPenpal,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Dharwad,Dharwad,Karnataka,168,23520,350 D SAGM,TerumoPenpal,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Dindori,Dindori,Madhya Pradesh,150,8100,350 SB CPDA,Polymed,NA,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Ganderbal,Ganderbal,Jammu & Kashmir,100,8900,350 SB CPDA PDS NPD,Mipl,Navdeep sales corporation jam,muneer.ahmed@mipl.in,OTHERS
District Hospital Blood Bank Guna,Guna,Madhya Pradesh,200,31550,350 T CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Guna,Guna,Madhya Pradesh,200,20900,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Guna,Guna,Madhya Pradesh,100,26800,450 Q SAGM TAB PDS NPD,Mipl,AADITYA HEALTH CARE,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Harda,Harda,Madhya Pradesh,100,5400,350 SB CPDA,Polymed,NA,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Harda,Harda,Madhya Pradesh,150,23662.5,350 T CPDA,Polymed,NA,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Haveri,Haveri,Karnataka,130,22490,450 T SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Haveri,Haveri,Karnataka,10,540,350 SB CPDA,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Haveri,Haveri,Karnataka,160,22400,450 D SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Hoshangabad,Hoshangabad,Madhya Pradesh,100,5400,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Hoshangabad,Hoshangabad,Madhya Pradesh,100,10450,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Karwar,Karwar,Karnataka,125,21625,450 T SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Karwar,Karwar,Karnataka,160,22400,350 D SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Kolasib,Kolasib,Mizoram,120,6480,350 SB CPDA,TerumoPenpal,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank Lawngtlai,Lawngtlai,Mizoram,80,4320,350 SB CPDA,TerumoPenpal,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank Mamit,Mamit,Mizoram,70,3780,350 SB CPDA,TerumoPenpal,Others,tapas.dey@mipl.in,OTHERS
District Hospital Blood Bank Mandsaur,Mandsaur,Madhya Pradesh,50,8650,350 T SAGM ,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Mandsaur,Mandsaur,Madhya Pradesh,60,6270,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Mandya,Mandya,Karnataka,100,17300,450 T SAGM,HLL,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Mandya,Mandya,Karnataka,130,13585,450 D CPDA,HLL,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Panna,Panna,Madhya Pradesh,100,10450,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Raisen,Raisen,Madhya Pradesh,100,5400,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Rajgarh,Rajgarh,Madhya Pradesh,100,5400,350 SB CPDA,Polymed,NA,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Ratlam,Ratlam,Madhya Pradesh,300,31350,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Ratlam,Ratlam,Madhya Pradesh,300,47325,350 T CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Sagar,Sagar,Madhya Pradesh,500,86500,450 T SAGM,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Sambha,Samba,Jammu & Kashmir,100,19200,450 T SAGM PDS NPD,TerumoPenpal,Terumo PP,muneer.ahmed@mipl.in,OTHERS
District Hospital Blood Bank Satna,Satna,Madhya Pradesh,500,86500,350 T SAGM ,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Satna,Satna,Madhya Pradesh,500,52250,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Sehore,Sehore,Madhya Pradesh,150,15675,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Shahdol,Shahdol,Madhya Pradesh,50,2700,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Shahdol,Shahdol,Madhya Pradesh,50,7887.5,350 T CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Shahdol,Shahdol,Madhya Pradesh,60,6270,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Shajapur,Shajapur,Madhya Pradesh,200,10800,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Shivpuri,Shivpuri,Madhya Pradesh,100,17300,350 T SAGM ,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Shivpuri,Shivpuri,Madhya Pradesh,100,10450,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Shopian,Shopian,Jammu & Kashmir,150,13350,350 SB CPDA PDS NPD,Mipl,Navdeep sales corporation jam,muneer.ahmed@mipl.in,OTHERS
District Hospital Blood Bank Sidhi,Sidhi,Madhya Pradesh,50,2700,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Tikamgarh,Tikamgarh,Madhya Pradesh,100,5400,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Tumkur,Tumakuru,Karnataka,120,20760,450 T SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Tumkur,Tumakuru,Karnataka,150,21000,350 D SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
District Hospital Blood Bank Umaria,Umaria,Madhya Pradesh,150,8100,350 SB CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Vidisha,Vidisha,Madhya Pradesh,100,17300,450 T SAGM,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Blood Bank Vidisha,Vidisha,Madhya Pradesh,100,10450,350 D CPDA,Mipl,MIPL,nagendra.singh@mipl.in,OTHERS
District Hospital Gomati Blood Bank,Gomati,Tripura,60,6270,350 D CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
District Hospital Gomati Blood Bank,Gomati,Tripura,100,5400,350 SB CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
District Hospital Jhabua,Jhabua,Madhya Pradesh,150,8100,350 SB CPDA,Polymed,NA,nagendra.singh@mipl.in,OTHERS
District Hospital Kaushambi Blood bank,Kaushambi,Uttar Pradesh,200,10800,350 SB CPDA,Polymed,NA,jitum.kumar@mipl.in,OTHERS
District Hospital Lakhimpur Kheri Blood Bank,Lakhimpur kheri,Uttar Pradesh,300,31350,350 D CPDA,Polymed,Others,digember.singh@mipl.in,OTHERS
District Hospital Panchkula Blood Bank,Panchkula,Haryana,100,15775,450 T CPDA,Mipl,ROYAL BIOTECH,mangalesh.thakur@mipl.in,OTHERS
District Hospital Panchkula Blood Bank,Panchkula,Haryana,50,2700,350 SB CPDA,Mipl,ROYAL BIOTECH,mangalesh.thakur@mipl.in,OTHERS
District Hospital Panchkula Blood Bank,Panchkula,Haryana,100,10450,350 D CPDA,Mipl,ROYAL BIOTECH,mangalesh.thakur@mipl.in,OTHERS
District Hospital for Women Blood Bank,Amaravati,Maharashtra,100,20800,350 T SAGM PDS NPD,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
District Hospital for Women Blood Bank,Amaravati,Maharashtra,100,5400,350 SB CPDA,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
District Hospital for Women Blood Bank,Amaravati,Maharashtra,100,26400,350 Q SAGM PDS NPD,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
District Hospital for Women Blood Bank,Amaravati,Maharashtra,150,21000,350 D SAGM,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
District hospital ,Ballia,Uttar Pradesh,200,20900,350 D CPDA,Polymed,Others,digember.singh@mipl.in,OTHERS
Divine Heart Hospital and Research Centre Blood Bank,Lucknow ,Uttar Pradesh,120,20760,350 T SAGM ,Mipl,Prem Agency,digember.singh@mipl.in,OTHERS
Divine Heart Hospital and Research Centre Blood Bank,Lucknow ,Uttar Pradesh,200,28000,350 D SAGM,Mipl,Prem Agency,digember.singh@mipl.in,OTHERS
Divisional Railway Hospital Blood Bank Asansol,Bardhaman,West Bengal,150,8100,350 SB CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
Divya Joyati Institute Of Medical Science Research,Ghaziabad,Delhi NCR,100,5400,350 SB CPDA,Polymed,INC healthcare ,akram@mipl.in,OTHERS
Divya Joyati Institute Of Medical Science Research,Ghaziabad,Delhi NCR,250,35000,450 D SAGM,Polymed,INC healthcare ,akram@mipl.in,OTHERS
"Doctors Blood Bank, Vijayawada",Vijayawada,Andhra Pradesh,60,3240,350 SB CPDA,HLL,Others,sinderaviteja@mipl.in,OTHERS
"Doctors Blood Bank, Vijayawada",Vijayawada,Andhra Pradesh,120,12540,450 D CPDA,HLL,Others,sinderaviteja@mipl.in,OTHERS
"Doctors Voluntary Blood Bank, Khammam",Khammam,Telangana,50,2700,350 SB CPDA,HLL,Others,sinderaviteja@mipl.in,OTHERS
"Doctors Voluntary Blood Bank, Khammam",Khammam,Telangana,180,18810,450 D CPDA,HLL,Others,sinderaviteja@mipl.in,OTHERS
Doda District Hospital Blood Bank,Doda,Jammu & Kashmir,100,8900,450 SB CPDA PDS NPD,Mipl,Navdeep sales corporation jam,muneer.ahmed@mipl.in,OTHERS
Dombivali Blood Bank,Thane,Maharashtra,50,8650,450 T SAGM,JMS,Span Healthcare,sameer.balwant@mipl.in,OTHERS
Dombivali Blood Bank,Thane,Maharashtra,50,8650,350 T SAGM ,JMS,Span Healthcare,sameer.balwant@mipl.in,OTHERS
Dombivali Blood Bank,Thane,Maharashtra,100,14000,450 D SAGM,Mipl,NIDHI AGENCY,sameer.balwant@mipl.in,OTHERS
Dombivali Blood Bank,Thane,Maharashtra,100,14000,350 D SAGM,Mipl,NIDHI AGENCY,sameer.balwant@mipl.in,OTHERS
Domkol SSH Blood Bank,Murshidabad,West Bengal,20,3155,350 T CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
Domkol SSH Blood Bank,Murshidabad,West Bengal,100,10450,350 D CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
Domkol SSH Blood Bank,Murshidabad,West Bengal,100,5400,350 SB CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
Doon Hospital District Hospital Blood Bank,Dehradun,Uttarakhand,300,51900,350 T SAGM ,Mipl,SUN BIO DIAGNOSTIC,jitum.kumar@mipl.in,OTHERS
Doon Hospital District Hospital Blood Bank,Dehradun,Uttarakhand,400,56000,450 D SAGM,Mipl,SUN BIO DIAGNOSTIC,jitum.kumar@mipl.in,OTHERS
Doon Hospital District Hospital Blood Bank,Dehradun,Uttarakhand,50,40000,350 Q SAGM ILF TAT (TIB),Mipl,SUN BIO DIAGNOSTIC,jitum.kumar@mipl.in,ILF&LSF
Down Town Hospital Blood Bank,Kamrup Metro,Assam,50,7887.5,350 T CPDA,TerumoPenpal,Others,tapas.dey@mipl.in,OTHERS
Down Town Hospital Blood Bank,Kamrup Metro,Assam,150,15675,350 D CPDA,TerumoPenpal,Others,tapas.dey@mipl.in,OTHERS
Dr Anant Ram Janta Hospital Blood Bank,Hisar,Haryana,50,8650,450 T SAGM,Mipl,HISAR DIAGNOSTIC,mangalesh.thakur@mipl.in,OTHERS
Dr Anant Ram Janta Hospital Blood Bank,Hisar,Haryana,100,14000,450 D SAGM,Mipl,HISAR DIAGNOSTIC,mangalesh.thakur@mipl.in,OTHERS
Dr Anil Bhaghi Memorial Hospital Blood Bank,Ferozpur,Punjab,140,27720,450 T SAGM TAB PDS NPD,Mipl,Medicine chamber ludhiana,mangalesh.thakur@mipl.in,OTHERS
Dr Anil Bhaghi Memorial Hospital Blood Bank,Ferozpur,Punjab,200,34000,450 D SAGM PDS NPD,TerumoPenpal,Medicine chamber ludhiana,mangalesh.thakur@mipl.in,OTHERS
Dr B Borooah Cancer Institute Blood Bank,Kamrup Metro,Assam,150,23662.5,350 T CPDA,TerumoPenpal,Others,tapas.dey@mipl.in,OTHERS
Dr B Borooah Cancer Institute Blood Bank,Kamrup Metro,Assam,250,26125,350 D CPDA,TerumoPenpal,Others,tapas.dey@mipl.in,OTHERS
Dr B L Kapoor Memorial Hospital Blood Bank,New Delhi,Delhi NCR,200,53600,450 Q SAGM TAB PDS NPD,TerumoPenpal,Meridian Healthcare ,akram@mipl.in,OTHERS
Dr B L Kapoor Memorial Hospital Blood Bank,New Delhi,Delhi NCR,400,360000,450 Q SAGM TAB ILF,TerumoPenpal,Meridian Healthcare ,akram@mipl.in,ILF&LSF
